coalition,size,v_S
H1,1,0.0
H2,1,0.0
H3,1,0.0
H4,1,0.0
H5,1,0.0
H1+H2,2,0.8041136196120628
H2+H3,2,0.683566343800428
H1+H5,2,0.30229165867483454
H3+H5,2,0.2645799065932781
H1+H4,2,0.22050055225281406
H3+H4,2,0.20229320472682577
H2+H5,2,0.08412451086183736
H2+H4,2,0.06788455188776066
H1+H3,2,0.005092154283590444
H4+H5,2,-8.881784197001252e-16
H1+H2+H5,3,0.8854600469260232
H1+H2+H4,3,0.8692200879519447
H1+H2+H3,3,0.8343879896948061
H2+H3+H5,3,0.7310296182449072
H2+H3+H4,3,0.7147896592708287
H1+H4+H5,3,0.44521672282880864
H3+H4+H5,3,0.3988762817502307
H1+H3+H5,3,0.32372212193594585
H1+H3+H4,3,0.2313487813079642
H2+H4+H5,3,0.112955740899217
H1+H2+H3+H5,4,1.1362141839848023
H1+H2+H3+H4,4,1.0576875231442706
H1+H2+H4+H5,4,0.9140639998188771
H2+H3+H4+H5,4,0.7553953565553346
H1+H3+H4+H5,4,0.504584863401659
H1+H2+H3+H4+H5,5,1.300265714800184
